id,year,bankname,w1,w2,w3,y1,y2,CHHI,THHI,esg,mesg,mdesg,mmesg,t,lnw2,lnw3,lny1,lny2,lnw2_lnw3,lnw2_lny1,lnw2_lny2,lnw3_lny1,lnw3_lny2,lny1_lny2,_t,_t_lnw2,_t_lnw3,_t_lny1,_t_lny2,_t_2,lnw2_2,lnw3_2,lny1_2,lny2_2,mw1,CHHI_esg,THHI_esg,CHHI_mesg,THHI_mesg,CHHI_mdesg,THHI_mdesg,CHHI_mmesg,THHI_mmesg,msize_THHI,mTHHI,mTHHI_mdesg
1,2013,上海银行,0.878651,0.003842,0.024922,4.10E+11,4.40E+11,5.7,31.28,82.26,1,1,0,1,-0.14854374,0.16203739,-1.3639128,-1.7546596,-0.01203482,0.10130036,0.13032185,-0.11050244,-0.14216023,1.1966013,-4.5,0.33422341,-0.36458413,3.0688039,3.947984,10.125,0.01103262,0.01312806,0.9301291,1.5394151,0.1293675,468.882,2573.0928,5.7,31.28,5.7,31.28,0,0,26.902,4.378,4.378
1,2014,上海银行,1.04425,0.003478,0.027299,5.60E+11,4.90E+11,5.78,27.42,80.265,1,1,0,2,-0.24807939,0.25313651,-1.0521332,-1.6470289,-0.03139898,0.13050628,0.20429696,-0.13316667,-0.20846158,0.8664469,-3.5,0.43413893,-0.4429889,1.8412331,2.8823006,6.125,0.03077169,0.03203905,0.55349214,1.3563521,-0.04329892,463.9317,2200.8663,5.78,27.42,5.78,27.42,0,0,26.902,0.518,0.518
1,2015,上海银行,1.16911,0.003125,0.02399,7.60E+11,5.40E+11,6.35,23.81,79.3356,0,0,0,3,-0.35510252,0.12392352,-0.74675155,-1.5498652,-0.02200278,0.13258668,0.27518051,-0.04627004,-0.09603237,0.57868211,-2.5,0.44387815,-0.1549044,0.93343944,1.9373314,3.125,0.0630489,0.00767852,0.27881894,1.201041,-0.15624278,503.78081,1888.9797,0,0,0,0,0,0,26.902,-3.092,0
1,2016,上海银行,0.866134,0.002718,0.019742,1.10E+12,5.50E+11,4.25,24.44,78.9392,0,0,0,4,-0.49464049,-0.07096521,-0.37700453,-1.531516,0.01755113,0.09324085,0.37877492,0.0133771,0.05434218,0.28869424,-1.5,0.37098037,0.05322391,0.2827534,1.148637,1.125,0.12233461,0.00251803,0.07106621,1.1727707,0.14371565,335.49143,1929.2731,0,0,0,0,0,0,26.902,-2.462,0
1,2017,上海银行,0.830088,0.002736,0.022661,1.00E+12,6.60E+11,4.93,27.99,78.9305,0,0,0,5,-0.4880398,0.06693183,-0.47231471,-1.3491945,-0.0163327,0.11525419,0.3292303,-0.01580644,-0.04515203,0.31862219,-0.5,0.12200995,-0.01673296,0.11807868,0.33729862,0.125,0.11909143,0.00223993,0.11154059,0.91016285,0.18622356,389.12751,2209.2655,0,0,0,0,0,0,26.902,1.088,0
1,2018,上海银行,0.701535,0.002675,0.022656,1.00E+12,8.50E+11,7.84,31.76,78.2965,0,0,0,6,-0.51058742,0.06671116,-0.47231471,-1.0961979,-0.01703094,0.12057897,0.27985244,-0.01575433,-0.03656432,0.25887521,0.5,-0.12764686,0.01667779,-0.11807868,-0.27404949,0.125,0.13034976,0.00222519,0.11154059,0.60082497,0.35448449,613.8448,2486.6978,0,0,0,0,0,0,26.902,4.858,0
1,2019,上海银行,0.800455,0.00267,0.021586,1.10E+12,9.80E+11,8.56,32.38,78.701,0,0,0,7,-0.51245833,0.0183314,-0.37700453,-0.95388173,-0.00469704,0.09659956,0.24441232,-0.00345551,-0.00874299,0.17980886,1.5,-0.38434375,0.01374855,-0.2827534,-0.71541129,1.125,0.13130677,0.00016802,0.07106621,0.45494517,0.22257496,673.68082,2548.3394,0,0,0,0,0,0,26.902,5.478,0
1,2020,上海银行,0.691238,0.002479,0.019411,1.20E+12,1.10E+12,6.42,30.23,79.5577,0,0,0,8,-0.58668155,-0.08787364,-0.28999315,-0.83836884,0.02577692,0.08506682,0.24592777,0.01274138,0.03683526,0.12156061,2.5,-0.73335194,-0.10984205,-0.36249144,-1.047961,3.125,0.17209762,0.00386089,0.04204801,0.35143115,0.36927109,510.76043,2405.0293,0,0,0,0,0,0,26.902,3.328,0
1,2021,上海银行,0.923807,0.002665,0.019818,1.30E+12,1.20E+12,3.01,20.44,80.0096,0,0,0,9,-0.51433275,-0.06712294,-0.20995044,-0.75135746,0.01726176,0.05399219,0.19322387,0.00704625,0.02521666,0.07887392,3.5,-0.90008231,-0.11746515,-0.36741327,-1.3148756,6.125,0.13226909,0.00225274,0.02203959,0.28226902,0.0792521,240.82899,1635.3968,0,0,0,0,0,0,26.902,-6.462,0
1,2022,上海银行,0.570497,0.002441,0.018897,1.40E+12,1.30E+12,2.52,19.27,80.3808,1,1,0,10,-0.60212901,-0.11471038,-0.13584247,-0.67131475,0.03453522,0.04089735,0.20210905,0.00779127,0.03850338,0.04559653,4.5,-1.3547903,-0.25809835,-0.30564556,-1.5104582,10.125,0.18127967,0.00657924,0.00922659,0.22533175,0.56124737,202.55972,1548.9388,2.52,19.27,2.52,19.27,0,0,26.902,-7.632,-7.632
2,2013,中信银行,1.64832,0.004888,0.021325,1.20E+12,1.90E+12,3.41,14.68,85.7,1,1,1,1,0.09224642,0.00616654,-0.28999315,-0.29182513,0.00028442,-0.01337541,-0.01345991,-0.00089413,-0.00089978,0.04231364,-4.5,-0.20755444,-0.01387471,0.65248459,0.65660655,10.125,0.0042547,0.00001901,0.04204801,0.04258095,-0.49975659,292.237,1258.076,3.41,14.68,3.41,14.68,3.41,14.68,13.804,0.876,0.876
